company,job_id,title,location,department,business_unit,work_option,url,pid
Millennium,REQ-29459,"Equity Research Analyst, China Industrials","Hong Kong, Hong Kong",Trading,Equities,onsite,https://career.mlp.com/careers/job/755956338275,755956338275
Millennium,REQ-29462,Application Support Engineer,"London, United Kingdom",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755956340979,755956340979
Millennium,REQ-29460,Compliance Analyst,"London, United Kingdom",Compliance,Compliance Surveillance Program,onsite,https://career.mlp.com/careers/job/755956350279,755956350279
Millennium,REQ-29370,Quantitative Analyst,"Hong Kong, Hong Kong",Trading,Quant Strategies,onsite,https://career.mlp.com/careers/job/755956237097,755956237097
Millennium,REQ-29373,Business Manager - Equities - Analyst Engagement,"London, United Kingdom",Trading,Equities,onsite,https://career.mlp.com/careers/job/755956240066,755956240066
Millennium,REQ-29323,"Business Manager - Fixed Income, Commodities and Core Technology (FICCT)","London, United Kingdom",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755956196118,755956196118
Millennium,REQ-29311,Equity Lead - Core Ops,"Bangalore, Karnataka, India",Operations & Middle Office,Core Operations,onsite,https://career.mlp.com/careers/job/755956186932,755956186932
Millennium,REQ-28030,Platform / Site Reliability Engineer,"Hong Kong, Hong Kong",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755954311541,755954311541
Millennium,REQ-29205,Compensation Associate,"Bangalore, Karnataka, India",Human Resources,People Services,onsite,https://career.mlp.com/careers/job/755956079058,755956079058
Millennium,REQ-29207,Front End Developer – Options Trading Team (US Trading Hours),"London, United Kingdom",Trading,Equities,onsite,https://career.mlp.com/careers/job/755956079331,755956079331
Millennium,REQ-29084,Equity Research Analyst,"Bangalore, Karnataka, India",Trading,Equities,onsite,https://career.mlp.com/careers/job/755955997020,755955997020
Millennium,REQ-29086,Senior C++ Engineer - High Frequency Trading,"Singapore, Singapore",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755955997873,755955997873
